Auto.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Echtzeit vom Büro,Echtzeit vom Büro.1,Echtzeit vom Büro.2,Auto..1,Auto. ,Echtzeit vom Büro.3,Unnamed: 17,Unnamed: 18
KW,Geplantes Ankunftsdatum lt Liste DHL,Ist Datum,SCI,Lenkzeit,Soure Location,LS Nummern,Status,Anzahl Paletten,Arrival Monitor ,SCI OTM,Ankunft Office,Entladung gestartet ,Entladung beendet ,Wartezeit bis Entladebeginn   ,Entladungszeit  ,Unloaded at Bayreuth (Documents finished),Bemerkungen( bei Shuttle SKU),
nn,dd.mm.yy,dd.mm.yy,10000xxxxx,in Minuten,Schreibe,Schreibe,Auswahlliste,nn,80,ok,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,,Shuttle LC 6,9185258189,Eingelagert,33,80,,15:00:00,15:10:00,15:30:00,00:10:00,00:20:00,,SKU 10186059 / 10186065 / 10186194 / 10188936,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,,Shuttle LC 7,9185266217,Eingelagert,33,80,,16:30:00,17:10:00,17:30:00,00:40:00,00:20:00,,SKU 10186059,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,,Shuttle LC 8,9185267315,Eingelagert,33,80,,18:00:00,20:00:00,20:15:00,02:00:00,00:15:00,,SKU 10186059,
3,2024-01-15 00:00:00,2024-01-15 00:00:00,,,Shuttle LC 9,9185256167,Eingelagert,33,80,,21:00:00,21:15:00,21:35:00,00:15:00,00:20:00,,SKU 10186059,
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,,Shuttle LC 1,9185255974,Eingelagert,33,80,,06:25:00,06:25:00,06:55:00,00:00:00,00:30:00,,SKU 10186194 / 10188936,
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,600,Gizeh 2,186906923,Eingelagert,34,,,07:15:00,08:15:00,08:35:00,01:00:00,00:20:00,08:40:00,Verzögerung wegen HH,01:20:00
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,,Shuttle LC 2,9185253284,Eingelagert,33,80,,07:55:00,07:55:00,08:25:00,00:00:00,00:30:00,,SKU 10186194 / 10188936,
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,480,Poznan 1,4300936917 / 9185205799 4200214991 / 9185210584,Eingelagert,,80,ok,08:40:00,09:10:00,09:30:00,00:30:00,00:20:00,09:35:00,,00:50:00
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,480,Gizeh 3,186914124,Eingelagert,34,,,08:55:00,09:35:00,10:00:00,00:40:00,00:25:00,10:05:00,,01:05:00
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,,Shuttle LC 3,9185254650,Eingelagert,33,80,,09:40:00,09:45:00,10:10:00,00:05:00,00:25:00,,SKU 10186059 / 10186065,
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,,Krage Potsdam,3202410746 // ADM-Ware,Eingelagert,3,,,10:35:00,10:35:00,10:40:00,00:00:00,00:05:00,10:40:00,,00:05:00
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,,Shuttle LC 4,9185268778,Eingelagert,33,80,,11:30:00,11:45:00,12:05:00,00:15:00,00:20:00,,SKU 10186194 / 10188936,
3,2024-01-16 00:00:00,2024-01-16 00:00:00,1000451826,360,Pecs 2,4300936844 / 9185199778 4300936845 / 9185208562,Eingelagert,25 // 9,80,ok,13:50:00,14:15:00,14:45:00,00:25:00,00:30:00,15:50:00,,00:55:00
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,,Shuttle LC 5,9185266860,Eingelagert,33,80,,14:45:00,15:00:00,15:20:00,00:15:00,00:20:00,,SKU 10186059 / 10186065,
