"plz","ort","bundesland","landkreis","lon","lat"
"02994","Bernsdorf","Sachsen","Landkreis Bautzen",14.06667,51.36667
"02997","Wittichenau","Sachsen","Landkreis Bautzen",14.25,51.38333
"02999","Lohsa","Sachsen","Landkreis Bautzen",14.4,51.38333
"03042","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03044","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03046","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03048","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03050","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03051","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03052","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03053","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03054","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03055","Cottbus","Brandenburg","Kreisfreie Stadt Cottbus",14.33333,51.76667
"03058","Neuhausen/Spree","Brandenburg","Landkreis Spree-Neiße",14.45,51.7
"03096","Burg (Spreewald)","Brandenburg","Landkreis Spree-Neiße",14.15,51.83333
"03099","Kolkwitz","Brandenburg","Landkreis Spree-Neiße",14.25,51.75
"03103","Neupetershain","Brandenburg","Landkreis Oberspreewald-Lausitz",14.16667,51.61667
"03116","Drebkau","Brandenburg","Landkreis Spree-Neiße",14.21667,51.65
"03119","Welzow","Brandenburg","Landkreis Spree-Neiße",14.36667,51.58333
"03130","Spremberg","Brandenburg","Landkreis Spree-Neiße",14.38333,51.56667
"03149","Forst (Lausitz)","Brandenburg","Landkreis Spree-Neiße",14.63333,51.73333
"03159","Döbern","Brandenburg","Landkreis Spree-Neiße",14.6,51.61667
"03172","Guben","Brandenburg","Landkreis Spree-Neiße",14.71667,51.95
"03185","Peitz","Brandenburg","Landkreis Spree-Neiße",14.41667,51.85
"03197","Jänschwalde","Brandenburg","Landkreis Spree-Neiße",14.51667,51.86667
"03205","Calau","Brandenburg","Landkreis Oberspreewald-Lausitz",13.95,51.75
"03222","Lübbenau/Spreewald","Brandenburg","Landkreis Oberspreewald-Lausitz",14,51.86667
"03226","Vetschau/Spreewald","Brandenburg","Landkreis Oberspreewald-Lausitz",14.06667,51.78333
"03238","Finsterwalde","Brandenburg","Landkreis Elbe-Elster",13.71667,51.63333
"03246","Crinitz","Brandenburg","Landkreis Elbe-Elster",13.78333,51.71667
"03249","Sonnewalde","Brandenburg","Landkreis Elbe-Elster",13.65,51.68333
"03253","Doberlug-Kirchhain","Brandenburg","Landkreis Elbe-Elster",13.56667,51.61667
"04103","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.38139,51.33417
"04105","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.36833,51.34611
"04107","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.36972,51.3325
"04109","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.37361,51.34139
"04129","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.39278,51.37389
"04155","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.36556,51.36111
"04157","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.345,51.37361
"04158","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.32139,51.40111
"04159","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.31639,51.38056
"04177","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.32139,51.34694
"04178","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.28833,51.33806
"04179","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.29806,51.34722
"04205","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.26806,51.30917
"04207","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.27833,51.32167
