ID,CreatedTimestamp,CreatedBy,UpdatedTimestamp,UpdatedBy,SapOrderNumber,SSCC,Printer,Copies,Status,ErrorText,DangerousGoodsUNNumber,DangerousGoodsWeight,LabelTemplate
6771,2022-10-19T08:38:10.9764692+00:00,Christian Hammann,,,3202191036,140313001112810291,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6772,2022-10-19T08:43:33.1442286+00:00,Alexander Bretter,,,3202191046,140313001112817429,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6773,2022-10-19T08:43:53.0108210+00:00,Alexander Bretter,,,3202191046,140313001112817412,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6774,2022-10-19T08:44:15.9792927+00:00,Alexander Bretter,,,3202191046,140313001112817436,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6775,2022-10-19T08:44:44.3416082+00:00,Alexander Bretter,,,3202191046,140313001112817443,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6776,2022-10-19T08:44:57.6799715+00:00,Manuela Lautner,,,3202191032,140313001112810031,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6777,2022-10-19T08:45:10.7527144+00:00,Alexander Bretter,,,3202191046,140313001112817405,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6778,2022-10-19T09:14:01.2481014+00:00,Susanne Niporschke,,,3202192170,659031410523226144,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6779,2022-10-19T09:19:58.4227794+00:00,Susanne Niporschke,,,3202192170,140313001112817634,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6780,2022-10-19T09:22:19.4098088+00:00,85139386,,,3202192170,659031410523226144,DEBY-P475,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6781,2022-10-19T09:51:01.0955568+00:00,Christian Hammann,,,3202190118,140313001112792726,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6782,2022-10-19T09:52:14.4003253+00:00,Christian Hammann,,,3202190118,140313001112792719,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
