SapOrderNumber,ItemNumber,KVP,Outers,CorrespondingCartons,CorrespondingOuters,CorrespondingPackages,PackagesPerOuter,InternationalArticleNumberForOuter,MaterialNumber,ParentItemNumber,InternationalArticleNumberForMastercase,OuterPerMastercase,CorrespondingMastercases,CorrespondingPallets,MastercasePerPallet,VolumeInMTQ,MaterialGroup,MaterialType,TPDIndicator,OUT,VolInThKg,PlannedDate,IsReturnDelivery,IsDeleted
3202260165,000130,58.0,1,0,1,0,10,4031300276792,10166811,,4031300276921,50,0,0,21,0.00079,ZFG510000,ZFER,Y,,,16.11.2023,True,False
3202271197,000010,0.0,1,1,0,0,1,,75009820,,,1,0,1,1,0.0323,ZEB551217,ZUNB,N,,,16.11.2023,True,False
3202271198,000010,0.0,1,1,0,0,1,,75009820,,,1,0,1,1,0.0323,ZEB551217,ZUNB,N,,,16.11.2023,True,False
3202271199,000010,0.0,1,1,0,0,1,,75009821,,,1,0,1,1,0.0323,ZEB551217,ZUNB,N,,,16.11.2023,True,False
3202275492,000010,80.0,840,42,0,0,8,4031300301876,10187673,,4031300301890,20,0,1,42,1.711,ZFG100000,ZFER,L,,,16.11.2023,False,False
3202275493,000010,80.0,840,42,0,0,8,4031300296813,10186705,,4031300297209,20,0,1,42,1.711,ZFG100000,ZFER,L,,,16.11.2023,False,False
3202275494,000010,29.0,150,6,0,0,10,4031300279939,10170724,,4031300279977,25,6,0,36,0.23679467999999998,ZFG110000,ZFER,Y,,,16.11.2023,False,False
3202275494,000020,24.95,108,6,0,0,1,4031300283165,10186194,,4031300283264,18,6,0,30,0.19860000000000003,ZFG130000,ZFER,L,,,16.11.2023,False,False
3202275495,000010,7.5,200,20,0,0,5,4031300063279,50063261,,4031300063316,10,0,1,20,1.91,ZFG133000,ZHAW,Y,,,16.11.2023,False,False
3202275495,000020,7.5,200,20,0,0,5,4031300063286,50063231,,4031300063323,10,0,1,20,1.91,ZFG133000,ZHAW,Y,,,16.11.2023,False,False
3202275495,000030,7.5,200,20,0,0,5,4031300094723,50063290,,4031300094747,10,0,1,20,1.91,ZFG133000,ZHAW,Y,,,16.11.2023,False,False
3202275495,000040,82.0,1050,42,0,0,10,4031300295816,10186694,,4031300295953,25,0,1,42,1.837,ZFG100000,ZFER,L,,,16.11.2023,False,False
