Deliv. date(From/to),Name of the ship-to party,Sold-To Party,Delivery,Name,K&N Transportklasse,Zentrale Lieferstelle,Actual delivery qty,Gesamtgewicht Order,Kosten Picking Bayreuth,K&N_Kosten,TransportkostenLastMile_Fix_Kg_Preis,Paletten,Cases,Outers,Packs,Free of charge,Transportkosten
2024-01-10,Bernhard Hagemann GmbH & Co,50033960,3202688401,Bernhard Hagemann GmbH & Co,150.0,Nein,0.895,31.848,48.2,17.8876,5.4587471999999995,0,4,56,0,False,59.8
2024-01-10,Dietz GmbH,50034284,3202688422,Dietz GmbH,90.0,Tabacos_AWB Tabakwaren,0.17,2.9349999999999996,13.09,6.4878,0.5030589999999999,0,0,17,0,False,36.65
2024-01-10,EDEKA HG Nordbayern-,50034859,3202187737,EDEKA HG Nordbayern-,200.0,Nein,3.84,143.36,20.32,13.0928,24.571904000000004,0,16,0,0,False,125.4
2024-01-10,Edeka Foodservice GmbH & Co. KG,50099311,3202658484,EDEKA Foodservice Stiftung & Co. KG,200.0,Nein,0.09,3.159,6.93,4.6846,0.5414526,0,0,9,0,False,48.23
2024-01-10,Edeka Foodservice Stiftung & Co. KG,50033906,3202688412,EDEKA Foodservice,125.0,Nein,2.3,84.06,39.42,16.4396,14.407884000000001,0,8,38,0,False,63.66
2024-01-10,Edeka Foodservice Stiftung & Co. KG,50033956,3202688419,EDEKA Foodservice,125.0,Nein,0.25,8.774999999999999,19.25,8.291,1.504035,0,0,25,0,False,42.44
2024-01-10,F. Steinhaus GmbH & Co. KG,50033780,3202688411,F. Steinhaus GmbH & Co. KG,30.0,Tabacos_AWB Tabakwaren,0.27,11.146,32.34,12.1228,1.9104244000000001,0,0,42,0,False,27.0
2024-01-10,H. Lomberg GmbH & Co.KG,50035253,3202688402,H. Lomberg GmbH & Co.KG,125.0,Nein,2.26,50.47,48.31,21.0057,8.650558,0,15,38,0,False,63.66
2024-01-10,H. von der Heidt,50034792,3202688409,H. von der Heidt,30.0,Tabacos_AWB Tabakwaren,0.23500000000000001,9.546,24.64,9.8688,1.6361843999999999,0,0,32,0,False,27.0
2024-01-10,Hall Tabakwaren KG,50035108,3202688416,Hall Tabakwaren KG,200.0,HALL_Hilden,0.12,3.7199999999999998,9.24,5.360799999999999,0.637608,0,0,12,0,False,48.23
2024-01-10,Hall Tabakwaren e.K.,50033966,3202688424,Hall Tabakwaren e.K.,50.0,HALL_Hilden,1.7,30.514,30.18,13.7348,5.2300996,0,8,26,0,False,34.72
2024-01-10,Hall Tabakwaren e.K.,50034410,3202688406,Hall Tabakwaren e.K.,100.0,HALL_Hilden,0.13,4.705,13.09,6.4878,0.8064370000000001,0,0,17,0,False,38.58
2024-01-10,Hall Tabakwaren e.K.,50034610,3202688418,Hall Tabakwaren e.K.,80.0,HALL_Hilden,0.055,1.5790000000000002,4.62,4.0084,0.2706406,0,0,6,0,False,34.72
2024-01-10,Hall Tabakwaren e.K.,50034676,3202688420,Hall Tabakwaren e.K.,125.0,HALL_Hilden,0.21,6.332,16.94,7.6148,1.0853048,0,0,22,0,False,42.44
2024-01-10,Hall Tabakwaren e.K.,50035405,3202688370,Hall Tabakwaren e.K.,10.0,HALL_Hilden,4.37,148.927,166.77,58.206999999999994,25.5260878,0,24,177,0,False,48.23
2024-01-10,Handelshof Köln Stiftung & Co. KG,53837802,3202688414,Handelshof GmbH & Co. KG,200.0,Nein,0.03,1.053,2.31,3.3322000000000003,0.18048419999999998,0,0,3,0,False,48.23
2024-01-10,Huissel Tabak GmbH,50034577,3202187738,Huissel Tabak GmbH,10.0,Nein,2.265,68.543,23.98,12.7615,11.7482702,0,11,13,0,False,32.79
2024-01-10,Lekkerland SE,50034247,3202615953,Lekkerland SE,40.0,CDC Hanover,14.965,458.67199999999997,184.54,94.54830000000001,78.6163808,0,135,17,0,False,88.75
2024-01-10,Lekkerland SE,50034493,3202615955,Lekkerland SE,,CDC Hanover,3.76,104.00200000000001,24.13,15.0497,17.8259428,0,19,0,0,False,
2024-01-10,Lekkerland SE,50034799,3202687810,Lekkerland SE,10.0,CDC Hanover,2.8699999999999997,75.06200000000001,20.59,12.8913,12.865626800000001,0,15,2,0,False,32.79
2024-01-10,Lekkerland SE,50034809,3202615957,Lekkerland SE,50.0,CDC Hanover,3.34,76.982,22.86,14.397400000000001,13.194714800000002,0,18,0,0,False,38.58
2024-01-10,Lekkerland SE,50035002,3202615959,Lekkerland SE,70.0,CDC Nürnberg,3.42,55.86,24.130000000000003,15.0497,9.574404000000001,0,19,0,0,False,46.3
2024-01-10,Lekkerland SE,50035331,3202615956,Lekkerland SE,80.0,CDC Hanover,3.05,105.36800000000001,29.25,16.829,18.0600752,0,20,5,0,False,81.03
2024-01-10,Matthäus Koch GmbH,50034534,3202658488,Matthäus Koch GmbH,90.0,Nein,0.075,3.155,6.93,4.6846000000000005,0.540767,0,0,9,0,False,36.65
2024-01-10,Noris Tabak & Convenience GmbH &Co.,52381017,3202658486,Noris Tabak & Convenience GmbH,175.0,Nein,0.27999999999999997,6.776,21.560000000000002,8.9672,1.1614064,0,0,28,0,False,48.23
2024-01-10,Paul Stephan GmbH,50034554,3202688407,Paul Stephan,50.0,Nein,0.2,8.52,15.4,7.164,1.4603279999999998,0,0,20,0,False,27.0
2024-01-10,Tabacon Oberbayern,50034764,3202187739,Tabacon Oberbayern,40.0,Nein,4.4,135.49,29.21,17.6589,23.222986,0,23,0,0,False,55.95
2024-01-10,Tabacon Tabakwaren,50033751,3202658487,Tabacon Tabakwaren GmbH & Co. KG NL Berlin,20.0,Nein,0.44,7.072,8.7,5.7638,1.2121408,0,2,8,0,False,27.0
2024-01-10,Tabacon Tabakwaren,50033910,3202615958,Tabacon Tabakwaren GmbH & Co. KG,,Nein,2.4,82.596,54.39,24.4687,14.1569544,0,21,36,0,False,
2024-01-10,Tabacon Tabakwaren,50033910,3202688400,Tabacon Tabakwaren GmbH & Co. KG,,Nein,0.24,4.554,5.890000000000001,4.6607,0.7805556,0,1,6,0,False,
2024-01-10,Tabacon Tabakwaren GmbH & Co.KG,50033830,3202688404,Tabacon Tabakwaren GmbH & Co.KG,175.0,Nein,1.68,62.720000000000006,8.89,7.222099999999999,10.750208,0,7,0,0,False,75.24
2024-01-10,Tabakwaren Union GmbH&CO.KG,50034705,3202615954,Tabakwaren Union GmbH&CO.KG,125.0,Nein,4.82,155.64000000000001,53.61,29.8511,26.676696,0,41,2,0,False,102.24
2024-01-10,Tobacco Candy World,50034909,3202688405,Tobacco Candy World Handels GmbH,125.0,Tabacos_AWB Tabakwaren,1.145,48.79,32.03,13.1542,8.362606,0,4,35,0,False,52.09
2024-01-10,Tobacco Candy World GmbH,53706548,3202688421,Tobacco Candy World GmbH,40.0,Tabacos_AWB Tabakwaren,0.04,1.3780000000000001,3.85,3.7829999999999995,0.23618920000000002,0,0,5,0,False,27.0
2024-01-10,Transgourmet DE GmbH & Co. OHG,50033813,3202688413,Transgourmet DE,70.0,Nein,0.23,7.007,17.71,7.840199999999999,1.2009998,0,0,23,0,False,32.79
2024-01-10,Transgourmet DE GmbH & Co. OHG,50034317,3202688410,Transgourmet DE,40.0,Nein,0.01,0.468,1.54,3.1068000000000002,0.0802152,0,0,2,0,False,27.0
2024-01-10,Transgourmet DE GmbH & Co. OHG,50034339,3202688403,Transgourmet DE,80.0,Nein,0.04,1.24,3.08,3.5576,0.212536,0,0,4,0,False,34.72
2024-01-10,Transgourmet DE GmbH & Co. OHG,50035216,3202688423,Transgourmet DE,200.0,Nein,0.04,0.8240000000000001,3.08,3.5576,0.14123360000000001,0,0,4,0,False,48.23
2024-01-10,Transgourmet DE GmbH & Co. OHG,50035419,3202688417,Transgourmet DE,200.0,Nein,0.02,0.7769999999999999,1.54,3.1068000000000002,0.13317779999999999,0,0,2,0,False,48.23
2024-01-10,Utz GmbH & Co.KG,50035357,3202688415,Utz GmbH & Co.KG,175.0,Nein,0.17,4.2330000000000005,13.09,6.4878,0.7255362000000001,0,0,17,0,False,48.23
2024-01-10,Uwe Kaiser GmbH,50034536,3202688408,Uwe Kaiser GmbH,40.0,Tabacos_AWB Tabakwaren,0.675,23.953,66.22,22.0404,4.1055442,0,0,86,0,False,27.0
2024-01-10,Wagro Tabakw.Ph.Wagner Nf.,50034030,3202688425,Wagro Tabakw.Ph.Wagner Nf.,30.0,Nein,2.27,57.636,27.830000000000002,13.8885,9.8788104,0,11,18,0,False,34.72
2024-01-10,Wolf Tabakwaren e.K.,50033817,3202658485,Wolf Tabakwaren e.K.,,Tabacos_AWB Tabakwaren,0.48,20.220000000000002,55.44,18.8848,3.4657080000000002,0,0,72,0,False,
2024-01-10,muellertobacco e.K.,50034059,3202061078,muellertobacco e.K.,125.0,Nein,0.72,27.07,3.81,4.6129,4.639798000000001,0,3,0,0,False,48.23
